"id";"name";"category";"location";"about";"timings";"budget";"activities";"hoursspending"
1;"Express Avenue Mall";"Shopping Area";"Royapettah, Chennai";"One of Chennai’s largest malls featuring fashion brands.";"10:00 AM – 10:00 PM";"1000-2000";"Shopping, Dining, Cinema, Entertainment, Family hangout";"3-5"
2;"VR Chennai Mall";"Shopping Area";"Anna Nagar West, Chennai";"Premium lifestyle destination with 240+ stores.";"10:00 AM – 10:00 PM";"1000-2000";"Shopping, Dining, Cinema , Events, Entertainment";"5-7"
3;"Phoenix Marketcity";"Shopping Area";"Velachery, Chennai";"High-end mall with 600+ international & Indian brands.";"10:00 AM – 10:00 PM";"3000+";"Shopping, Dining, Cinema, Events, Entertainment";"1-3"
4;"Aerohub Mall";"Shopping Area";"Meenambakkam, Chennai";"Airport-connected mall with retail shops, food outlets.";"10:00 AM – 11:00 PM";"700-900";"Shopping, Dining, Quick entertainment";"7-9"
5;"Nexus Vijaya Mall";"Shopping Area";"Vadapalani, Chennai";"Spacious mall with 100+ stores, PVR Palazzo multiplex.";"10:00 AM – 10:00 PM";"2000-3000";"Shopping, Dining, Cinema, Kids Entertainment";"3-5"
6;"The Marina Mall";"Shopping Area";"Egattur, Chennai";"Modern mall with 120+ stores, Timezone arcade, trampoline park, inflatable park, and food court.";"10:00 AM – 10:00 PM";"500-700";"Shopping, Dining, Cinema (INOX), Arcade, Trampoline Park";"9-11"
7;"City Centre Mall";"Shopping Area";"Purasawalkam, Chennai";"Popular shopping and entertainment hub with multiplex.";"9:00 AM – 8:30 PM";"3000+";"Shopping, Dining, Cinema, Kids play area";"3-5"
8;"Mayajaal Entertainment Complex";"Shopping Area";" Kanathur, Chennai";"Entertainment complex featuring Asia’s largest 16-screen multiplex.";"9:00 AM – 12:00 AM";"2000-3000";"Movies, Bowling, Indoor/Outdoor games, Arcade, Dining, Resort stay";"5-7"
9;"Kapaleeshwarar Temple";"House of Worship";"Mylapore, Chennai";"Ancient Dravidian-style temple dedicated to Lord Shiva, dating back to the 7th century; famous for its towering gopuram and vibrant festivals.";"5:30 AM – 12:00 PM, 4:00 PM – 9:00 PM";"0-100";"Worship, Poojas, Festivals, Cultural visits";"1-3"
10;"Sri Parthasarathy Temple";"House of Worship";"Triplicane, Chennai";"Historic 8th-century temple dedicated to Lord Krishna (as Parthasarathy); built by Pallavas, known for intricate carvings and daily rituals.";"6:00 AM – 12:30 PM, 4:00 PM – 9:00 PM";"0-100";"Worship, Poojas, Cultural exploration";"3-5"
11;"Marundeeswarar Temple";"House of Worship";"Thiruvanmiyur, Chennai";"Famous Shiva temple from Chola period; devotees believe prayers here cure ailments; notable for its large gopuram and inscriptions.";"5:00 AM – 12:00 PM, 4:00 PM – 9:00 PM";"0-100";"Worship, Poojas, Cultural exploration";"1-3"
12;"Arulmigu Karaneeswarar Temple";"House of Worship";"Saidapet, Chennai";"Prominent temple dedicated to Lord Shiva, known for its tall gopuram, traditional rituals, and peaceful ambience amidst the city.";"6:00 AM – 11:30 AM, 5:00 PM – 9:00 PM";"100-300";"Worship, Rituals, Darshan";"3-5"
13;"Ashtalakshmi Temple";"House of Worship";"Besant Nagar, Chennai";"Modern temple by the seashore dedicated to Goddess Lakshmi in her 8 forms (Ashtalakshmi); known for unique multi-level structure.";"6:30 AM – 12:00 PM, 4:00 PM – 8:30 PM";"100-300";"Worship, Spiritual visits, Seaside view";"1-3"
14;"Ananda Padmanabha Swamy Temple";"House of Worship";"Adyar, Chennai";"Temple dedicated to Lord Vishnu, styled after Padmanabhaswamy temple of Kerala; serene location with traditional festivals.";"6:00 AM – 11:00 AM, 5:00 PM – 8:30 PM";"0-100";"Worship, Darshan, Poojas";"5-7"
15;"Ramanatheeswarar Temple";"House of Worship";"Porur, Chennai, Tamil Nadu 600116";"Ancient Shiva temple believed to have been worshipped by Lord Rama; known for healing rituals and calm surroundings.";"6:00 AM – 11:30 AM, 5:00 PM – 8:30 PM";"100-300";"Worship, Rituals, Spiritual visits";"1-3"
16;"Madhya Kailash Temple";"House of Worship";"Adyar, Rajiv Gandhi Salai Junction, Chennai";"Famous temple near IIT Madras, dedicated to Lord Venkateswara, also known for the unique idol “Adhyantha Prabhu” (half-Ganesha, half-Hanuman).";"5:30 AM – 12:00 PM, 4:00 PM – 9:00 PM";"100-300";"Worship, Poojas, Darshan";"1-3"
17;"Santhome Cathedral Basilica";"House of Worship";"Santhome High Road, Chennai";"Roman Catholic minor basilica built over the tomb of St. Thomas the Apostle; one of only three basilicas worldwide built over an apostle’s tomb.";"6:00 AM – 8:00 PM";"0-100";"Mass, Prayer, Historical visit";"1-3"
18;"Church of Our Lady of Light (Luz Church)";"House of Worship";"Luz Church Road, Mylapore, Chennai";"One of the oldest churches in India, built in 1516 by Portuguese missionaries; known for its gothic architecture and serene ambience.";"6:00 AM – 6:00 PM";"100-300";"Mass, Prayer, Heritage visit";"1-3"
19;"St. Mary’s Co-Cathedral";"House of Worship";"Armenian Street, Parry’s Corner, George Town, Chennai";"Roman Catholic church built in 1658, among the earliest in Chennai; served as cathedral until 1886.";"6:00 AM – 7:30 PM";"0-100";"Mass, Prayer, Historical visit";"3-5"
20;"Walajah Big Mosque (Wallajah Mosque)";"House of Worship";"Triplicane, Chennai";"Built in 1795 by Nawab Wallajah; historic mosque known for its Indo-Islamic architecture and Friday gatherings.";"5:00 AM – 9:00 PM";"0-100";"Prayers, Cultural visit";"1-3"
21;"Thousand Lights Shia Mosque";"House of Worship";"Poonamallee High Road, Royapettah, Chennai";"Magnificent mosque built in the early 19th century; important Shia place of worship, named after a thousand lamps lit to illuminate the hall.";"5:30 AM – 8:30 PM";"0-100";"Prayers, Religious events, Architecture viewing";"1-3"
22;"Periamet Mosque";"House of Worship";"Periamet, Chennai";"Prominent mosque in Periamet area serving the local Muslim community; known for large prayer gatherings.";"5:00 AM – 9:00 PM";"0-100";"Prayers, Community worship";"1-3"
23;"Kadambalakam Puliyur Mosque";"House of Worship";"Kodambakkam, Chennai";"Historic mosque in Puliyur, Kodambakkam; peaceful environment and important community prayer centre.";"5:00 AM – 9:00 PM";"100-300";"Prayers, Community worship";"1-3"
24;"St. Thomas Mount National Shrine";"House of Worship";"St. Thomas Mount, Chennai";"Historic Roman Catholic shrine atop a small hill, built at the site where St. Thomas the Apostle was martyred; offers panoramic views of the city.";"6:00 AM – 8:00 PM";"0-100";"Mass, Prayer, Hilltop views, Pilgrimage";"1-3"
25;"Annai Velankanni Shrine";"House of Worship";"Elliot’s Beach, Besant Nagar, Chennai";"Popular seaside shrine dedicated to Our Lady of Good Health (Velankanni Matha); known for its white facade, peaceful ambience, and festivals.";"6:00 AM – 8:00 PM";"100-300";"Mass, Prayer, Pilgrimage, Beachside visit";"3-5"
26;"Big Street Mosque";"House of Worship";"Mannady, George Town, Chennai";"Historic mosque in the bustling Mannady area, also called Periya Pallivasal; important centre for daily prayers and Friday gatherings.";"5:00 AM – 9:00 PM";"0-100";"Prayers, Community worship";"1-3"
27;"Besant Nagar Beach (Elliot’s Beach)";"Beach";"Besant Nagar, Chennai";"Popular beach in South Chennai, nicknamed Elliot’s Beach; known for its relaxing atmosphere, eateries nearby, and the Annai Velankanni Shrine.";"24 hours open";"500-700";"Walking, Sunset views, Food stalls, Relaxation";"1-3"
28;"Thiruvalluvar Nagar Beach";"Beach";"Thiruvalluvar Nagar, Chennai";"Quiet neighborhood beach located near Thiruvanmiyur; less crowded compared to main city beaches, ideal for peaceful strolls.";"24 hours open";"300-500";"Walking, Jogging, Relaxation";"5-7"
29;"Kottivakkam Beach";"Beach";"Kottivakkam, Chennai";"Serene beach stretch along ECR; favored by locals for morning walks, yoga, and sunrise views.";"24 hours open";"300-500";"Morning walks, Yoga, Relaxation";"1-3"
30;"Elliot’s Beach (Chennai)";"Beach";"Besant Nagar, Chennai";"Also called Elliot’s Beach, quieter than Marina; popular with families, youth, and tourists; lined with cafes and eateries.";"24 hours open";"500-700";"Walking, Food, Relaxing, Seaside fun";"5-7"
31;"Marina Beach";"Beach";"Marina, Chennai";"World’s second-longest urban beach (13 km); iconic landmark with memorials, food stalls, horse rides, and cultural significance.";"24 hours open";"100-300";"Walking, Sunset views, Street food, Horse rides, Sightseeing";"3-5"
32;"N4 Beach";"Beach";"Ennore, Chennai";"Beach located near Ennore fishing harbor, popular among locals; not as commercialized as Marina or Elliot’s.";"24 hours open";"700-900";"Fishing, Walking, Relaxation";"1-3"
33;"Kovalam Beach";"Beach";"Kovalam (Covelong), ECR Road, Chennai";"Famous beach near ECR known as Covelong Beach; popular for water sports, surfing, fishing, and a weekend getaway.";"6:00 AM – 7:00 PM";"500-700";"Surfing, Swimming, Water sports, Relaxation";"3-5"
34;"Pattinapakkam Beach (Foreshore Estate Beach)";"Beach";"Foreshore Estate, Pattinapakkam, Chennai";"Beach near Foreshore Estate area; calm and less crowded, offering scenic views and peaceful evenings.";"24 hours open";"300-500";"Walking, Evening relaxation";"1-3"
35;"VGP Golden Beach";"Beach";"ECR, Injambakkam, Chennai, Tamil Nadu";"Private beach maintained by VGP Universal Kingdom amusement park; famous for its clean sand, activities, and family entertainment.";"9:30 AM – 7:30 PM";"500-700";"Beach walks, Rides, Family outings, Entertainment";"3-5"
36;"ECR Beach (East Coast Road stretch)";"Beach";"East Coast Road, Chennai";"Series of scenic beaches along the East Coast Road, popular for long drives, seafood stalls, and casual hangouts.";"24 hours open";"300-500";"Driving, Beachside food, Relaxation";"1-3"
37;"Ooty (Udhagamandalam)";"Hill Station";"Nilgiris District";"Known as the “Queen of Hill Stations,” Ooty is famous for its tea plantations, Nilgiri Mountain Railway (UNESCO), Botanical Garden, Ooty Lake, and scenic landscapes.";"24 hours open";"3000+";"Sightseeing, Boating, Trekking, Tea estate tours, Photography";"12+"
38;"Kodaikanal";"Hill Station";"Dindigul District";"Picturesque hill station nicknamed the “Princess of Hill Stations”; attractions include Kodaikanal Lake, Coaker’s Walk, Bryant Park, and waterfalls.";"24 hours open";"3000+";"Boating, Trekking, Cycling, Sightseeing, Relaxation";"12+"
39;"Yercaud";"Hill Station";"Salem District, Tamil Nadu";"Serene hill station in the Shevaroy Hills; popular for Yercaud Lake, Anna Park, Servarayan Temple, and plantations of coffee and spices.";"24 hours open";"3000+";"Boating, Trekking, Plantation tours, Sightseeing";"12+"
40;"Yelagiri";"Hill Station";"Vellore District, Tamil Nadu";"Quiet and less commercialized hill station with Punganoor Lake, Jalagamparai Waterfalls, and trekking trails; popular for short weekend trips.";"24 hours open";"12+";"Boating, Trekking, Paragliding (seasonal), Nature walks";"12+"
41;"Top Slip";"Hill Station";"Anamalai Tiger Reserve, Coimbatore District, Tamil Nadu";"Eco-tourism spot inside Anamalai Tiger Reserve; known for trekking, safaris, and wildlife spotting including elephants, gaur, and rare birds.";"6:00 AM – 6:00 PM";"3000+";"Wildlife safari, Trekking, Birdwatching";"12+"
42;"Valparai";"Hill Station";"Coimbatore District, Tamil Nadu";"Scenic hill town in the Anamalai Hills surrounded by tea plantations, waterfalls, and wildlife; eco-tourism hotspot.";"24 hours open";"3000+";"Trekking, Wildlife, Tea estate visits, Sightseeing";"12+"
43;"Kotagiri";"Hill Station";"Nilgiris District, Tamil Nadu";"Charming hill station, quieter than Ooty and Coonoor, famous for Catherine Falls, tea plantations, and trekking trails.";"24 hours open";"3000+";"Trekking, Sightseeing, Tea tours, Photography";"9-11"
44;"Coonoor";"Hill Station";"Nilgiris District, Tamil Nadu";"Second-largest hill station in the Nilgiris; attractions include Sim’s Park, Dolphin’s Nose viewpoint, and tea estates.";"24 hours open";"3000+";"Sightseeing, Trekking, Toy train rides, Tea tours";"12+"
45;"Manjolai Hills";"Hill Station";"Tirunelveli District, Tamil Nadu";"Hidden gem hill station inside Kalakkad Mundanthurai Tiger Reserve; offers tea plantations, waterfalls, and trekking experiences.";"6:00 AM – 6:00 PM";"3000+";"Trekking, Tea estates, Waterfalls, Wildlife";"12+"
46;"Kolli Hills";"Hill Station";"Namakkal District, Tamil Nadu";"Famous for its 70 hairpin bends drive, Agaya Gangai waterfalls, and herbal farms; retains its traditional rural charm.";"24 hours open";"3000+";"Trekking, Waterfalls, Road trips, Village tourism";"12+"
47;"Nilgiris (The Blue Mountains)";"Hill Station";"Western Ghats, Tamil Nadu";"Mountain range home to Ooty, Coonoor, Kotagiri, and tea estates; UNESCO World Heritage Nilgiri Mountain Railway passes through.";"24 hours open";"3000+";"Hill tourism, Trekking, Tea plantation tours, Heritage train";"12+"
48;"VGP Water World";"Advanture activities";"East Coast Road, Injambakkam, Chennai, Tamil Nadu";"Popular water park section of VGP, featuring wave pools, slides, lazy river, and kids pools; part of the larger VGP entertainment complex.";"9:30 AM – 7:30 PM";"1000-2000";"Water rides, Wave pool, Kids play area, Family entertainment";"7-9"
49;"VGP Universal Kingdom";"Advanture activities";"East Coast Road, Injambakkam, Chennai, Tamil Nadu";"One of the largest amusement parks in Chennai with dry rides, water rides, petting zoo, aquarium, and private VGP Golden Beach access.";"9:30 AM – 7:30 PM";"2000-3000";"Amusement rides, Water rides, Beach access, Family activities";"5-7"
50;"MGM Dizzee World";"Advanture activities";"East Coast Road, Muttukadu, Chennai, Tamil Nadu";"Well-known amusement park with thrill rides, water rides, wave pools, cultural shows, and snow-themed entertainment.";"10:30 AM – 6:30 PM";"1000-2000";"Amusement rides, Water park, Cultural shows, Snow world";"5-7"
51;"Queensland Amusement Park";"Advanture activities";"Chennai-Bengaluru Highway, Palanjur, Chennai, Tamil Nadu";"Massive 70-acre amusement and water park featuring over 50 rides, wave pool, cable car, free fall tower, and kids play zones.";"9:30 AM – 6:30 PM";"700-900";"Amusement rides, Water rides, Cable car, Family activities";"7-9"
52;"SkyJumper Trampoline Park";"Advanture activities";"VR Mall, Jawaharlal Nehru Road, Anna Nagar, Chennai, Tamil Nadu";"Indoor trampoline-based adventure park with dodgeball, slam dunk, foam pit, wall climbing, and kids play area.";"11:00 AM – 9:00 PM";"700-900";"Trampolines, Dodgeball, Foam pit, Indoor adventure";"1-3"
53;"Snow Kingdom";"Advanture activities";"VGP Universal Kingdom, East Coast Road, Chennai, Tamil Nadu";"India’s largest snow theme park; offers snow slides, snowball fights, igloo zones, and -8°C snowy environment inside.";"10:00 AM – 8:00 PM";"700-900";"Snow activities, Slides, Igloo experience, Family fun";"1-3"
54;"Folk World Village (DakshinaChitra)";"Advanture activities";"East Coast Road, Muttukadu, Chennai, Tamil Nadu";"Living museum and cultural heritage center showcasing South Indian architecture, crafts, folk dances, and traditional lifestyles.";"10:00 AM – 6:00 PM";"300-500";"Cultural exhibits, Folk shows, Handicrafts, Heritage walks";"3-5"
55;"Niagara Falls Model";"Advanture activities";"Queensland Amusement Park, Chennai, Tamil Nadu";"Artificial replica of Niagara Falls inside Queensland Park; major photo attraction for visitors.";"9:30 AM – 6:30 PM";"300-500";"Photography, Sightseeing, Family enjoyment";"1-3"
56;"Chetpet Eco Park";"Relaxing activities";"Chetpet, Chennai, Tamil Nadu";"Urban eco-park with a large lake, boating facilities, walking track, and children’s play area; peaceful green spot in the city.";"9:00 AM – 7:00 PM";"100-300";"Boating, Walking, Jogging, Kids play";"1-3"
57;"Sivan Park";"Relaxing activities";"KK Nagar, Chennai, Tamil Nadu";"Neighborhood park in KK Nagar known for its greenery, walking tracks, children’s play zone, and community gatherings.";"5:00 AM – 8:00 AM, 4:00 PM – 8:00 PM";"300-500";"Walking, Jogging, Kids activities";"1-3"
58;"Semmozhi Poonga";"Relaxing activities";"Cathedral Road, Teynampet, Chennai, Tamil Nadu";"20-acre botanical garden with themed landscapes, exotic plants, artificial waterfall, and play area; a green lung in central Chennai.";"10:00 AM – 7:30 PM (Closed on Tuesdays)";"300-500";"Nature walks, Photography, Kids play, Relaxation";"3-5"
59;"Guindy National Park";"Relaxing activities";"Guindy, Chennai, Tamil Nadu";"Protected reserve in the heart of Chennai; home to blackbucks, deer, jackals, snakes, and birds; offers guided tours and children’s park.";"9:00 AM – 5:30 PM (Closed on Tuesdays)";"300-500";"Wildlife viewing, Walking, Birdwatching";"3-5"
60;"Arignar Anna Zoological Park (Vandalur Zoo)";"Relaxing activities";"Vandalur, Chennai, Tamil Nadu";"One of India’s largest zoos (602 hectares), housing 2500+ animals including tigers, lions, elephants, reptiles, and birds; safari rides available.";"9:00 AM – 5:00 PM (Closed on Tuesdays)";"700-900";"Wildlife safari, Animal exhibits, Walking tours";"5-7"
61;"Kalaignar Centenary Park";"Relaxing activities";"Adyar, Chennai, Tamil Nadu";"Newly developed riverside park with walking tracks, landscaped gardens, and modern seating spaces; popular evening relaxation spot.";"6:00 AM – 9:00 PM";"100-300";"Walking, Relaxation, Family outing";"1-3"
62;"Chennai Snake Park";"Relaxing activities";"Inside Guindy National Park Campus, Chennai, Tamil Nadu";"Specialized reptile conservation center displaying 30+ snake species, lizards, turtles, and crocodiles; focuses on research and awareness.";"9:00 AM – 5:30 PM (Closed on Tuesdays)";"100-300";"Reptile viewing, Education, Wildlife awareness";"1-3"
63;"Madras Crocodile Bank Trust";"Relaxing activities";"East Coast Road, Mamallapuram, Tamil Nadu";"Conservation center founded in 1976; houses crocodiles, alligators, turtles, snakes; famous for night safari and reptile research programs.";"8:30 AM – 5:30 PM";"100-300";"Crocodile viewing, Night safari, Education";"3-5"
64;"Tiger Cave";"Relaxing activities";"Mahabalipuram, Tamil Nadu";"Rock-cut Hindu monument maintained by ASI; features tiger-head carvings and a stage area; part of Pallava heritage near the coast.";"6:00 AM – 6:00 PM";"100-300";"Sightseeing, Photography, Heritage walk";"1-3"
65;"VGP Marine Kingdom";"Relaxing activities";"East Coast Road, Injambakkam, Chennai, Tamil Nadu";"India’s first large-scale public aquarium with underwater tunnel; houses 200+ marine species in five aquatic zones.";"10:00 AM – 8:00 PM";"700-900";"Marine life viewing, Education, Family entertainment";"3-5"
66;"Sea Shell Museum";"Relaxing activities";"Mahabalipuram, Tamil Nadu";"India’s largest seashell museum with 40,000+ specimens, rare fossils, and marine-themed exhibits; includes a pearl museum and shopping section.";"8:00 AM – 8:00 PM";"500-700";"Museum tour, Photography, Learning";"5-7"
67;"DakshinaChitra Heritage Museum";"Cultural activities";"East Coast Road, Muttukadu, Chennai, Tamil Nadu";"Living heritage museum showcasing South Indian culture, traditional houses, crafts, folk performances, and artisans at work.";"10:00 AM – 6:00 PM (Closed on Tuesdays)";"300-500";"Heritage walk, Folk shows, Handicrafts, Cultural learning";"5-7"
68;"Government Museum Chennai";"Cultural activities";"Pantheon Road, Egmore, Chennai, Tamil Nadu";"Established in 1851, India’s second-oldest museum; famous for Bronze Gallery, archaeology exhibits, Amaravathi sculptures, and children’s museum.";"9:30 AM – 5:00 PM (Closed on Fridays & holidays)";"300-500";"Museum tours, History learning, Art viewing";"3-5"
69;"Vivekananda House (Ice House)";"Cultural activities";"Kamarajar Salai, Marina Beach, Chennai, Tamil Nadu";"Historic building where Swami Vivekananda stayed in 1897; now a cultural museum with exhibits on his life, meditation room, and photo galleries.";"10:00 AM – 7:15 PM (Closed on Mondays)";"100-300";"Cultural exhibits, Meditation, Photography";"1-3"
70;"Chokhi Dhani Chennai";"Cultural activities";"Near Poonamallee, Chennai, Tamil Nadu";"Rajasthani-style ethnic village resort offering traditional food, folk dances, puppet shows, camel rides, and cultural programs.";"5:00 PM – 11:00 PM";"1000-2000";"Rajasthani dinner, Folk shows, Camel rides, Cultural experience";"7-9"
71;"Focus Art Gallery";"Cultural activities";"Alwarpet, Chennai, Tamil Nadu";"Contemporary art gallery exhibiting Indian and international artists; organizes exhibitions, art sales, and cultural events.";"11:00 AM – 7:00 PM (Closed on Sundays)";"300-500";"Art viewing, Exhibitions, Cultural events";"1-3"
72;"Click Art Museum";"Cultural activities";"VGP Snow Kingdom Complex, East Coast Road, Chennai, Tamil Nadu";"India’s first 3D selfie museum featuring interactive art where visitors can pose creatively for fun optical illusion photos.";"10:00 AM – 8:00 PM";"500-700";"Photography, 3D art fun, Family entertainment";"5-7"
73;"MGR Memorial";"Cultural activities";"Marina Beach, Kamarajar Salai, Chennai, Tamil Nadu";"Memorial dedicated to former Chief Minister M.G. Ramachandran, featuring landscaped gardens, eternal flame, and sea-facing structure.";"6:00 AM – 8:00 PM";"300-500";"Memorial visit, Photography, Relaxation";"1-3"
74;"Jayalalithaa Memorial";"Cultural activities";"Marina Beach, Adjacent to MGR Memorial, Chennai, Tamil Nadu";"Memorial honoring former CM J. Jayalalithaa, featuring Phoenix-shaped structure with granite pathways and landscaped surroundings.";"6:00 AM – 8:00 PM";"100-300";"Memorial visit, Photography, Reflection";"3-5"
75;"Gallery Veda";"Cultural activities";"Rutland Gate 5th Street, Nungambakkam, Chennai, Tamil Nadu";"Contemporary art gallery showcasing Indian modern art, photography, and sculptures; hosts exhibitions, installations, and cultural programs.";"11:00 AM – 7:00 PM (Closed on Sundays)";"700-900";"Art exhibitions, Installations, Cultural events";"1-3"
76;"National Art Gallery";"Cultural activities";"Inside Government Museum Complex, Pantheon Road, Egmore, Chennai, Tamil Nadu";"Historic Indo-Saracenic style building (1906) housing rare paintings, traditional Indian art, and colonial-era collections; part of Chennai Government Museum campus.";"9:30 AM – 5:00 PM (Closed on Fridays & holidays)";"500-700";"Art viewing, Museum tour, Photography";"3-5"
77;"Lower Deck Bar & Nightclub";"Nightlife";"Hotel Radisson Blu, Egmore, Chennai, Tamil Nadu";"Trendy nightclub inside Radisson Blu with a lively dance floor, cocktails, and weekend DJ nights.";"7:00 PM – 12:00 AM";"700-900";"Dance, Drinks, DJ music, Socializing";"1-3"
78;"10 Downing Street";"Nightlife";"Wallace Garden, Nungambakkam, Chennai, Tamil Nadu";"Popular British-style pub known for its retro music nights, karaoke, cocktails, and casual dining.";"12:00 PM – 12:00 AM";"3000+";"Live music, Karaoke, Drinks, Dining";"3-5"
79;"Flame Le Club";"Nightlife";"Hotel Le Royal Méridien, St. Thomas Mount, Chennai, Tamil Nadu";"High-energy nightclub featuring dance floors, themed parties, luxury ambiance, and global music.";"8:00 PM – 2:00 AM";"1000-2000";"Dance, DJ nights, Drinks, Partying";"5-7"
80;"Radio Room";"Nightlife";"Savera Hotel, RK Salai, Mylapore, Chennai, Tamil Nadu";"Retro-themed bar and lounge with live music, DJ performances, karaoke, and fusion cocktails.";"7:00 PM – 12:30 AM";"3000+";"Live music, Karaoke, Cocktails, Socializing";"1-3"
81;"Bay 146";"Nightlife";"Savera Hotel, RK Salai, Mylapore, Chennai, Tamil Nadu";"Trendy restobar with an open stage for live bands, DJs, and a chic bar menu; popular for weekend nightlife.";"7:00 PM – 1:00 AM";"2000-3000";"Live music, DJ nights, Drinks, Dance";"3-5"
82;"Gandhi Mandapam";"Others";"Sardar Patel Road, Adyar, Chennai, Tamil Nadu";"Memorial dedicated to Mahatma Gandhi, surrounded by lush gardens; part of a series of memorials for Indian leaders.";"6:00 AM – 8:00 PM";"300-500";"Memorial visit, Walking, Photography";"1-3"
83;"Anna Centenary Library";"Others";"Kotturpuram, Chennai, Tamil Nadu";"Asia’s largest library with over 1.2 million books, modern digital facilities, children’s section, and quiet study areas.";"9:00 AM – 8:00 PM";"500-700";"Reading, Research, Study, Events";"3-5"
84;"Chennai Lighthouse";"Others";"Marina Beach Road, Chennai, Tamil Nadu";"Active lighthouse with a viewing gallery offering panoramic views of Marina Beach and the Bay of Bengal.";"10:00 AM – 1:00 PM, 3:00 PM – 5:00 PM";"100-300";"Viewing gallery, Photography, Sightseeing";"1-3"
85;"Birla Planetarium";"Others";"Kotturpuram, Chennai, Tamil Nadu";"Modern planetarium featuring sky shows, 360-degree projections on astronomy, science exhibitions, and interactive models.";"10:00 AM – 5:45 PM (Closed on Republic Day, Independence Day, Gandhi Jayanthi)";"300-500";"Sky shows, Science exhibits, Astronomy.";"5-7"
